ubigeo,distrito,departamen,poblacion,ipress_per_10k,atenciones_per_10k,dist_mediana_km,pct_ccpp_10km,indice_baseline,quintil_baseline,etiqueta_baseline,indice_alternativo,quintil_alternativo,etiqueta_alternativo,cambio_quintil,cambio_abs
250102,CAMPOVERDE,UCAYALI,16324.0,14.7023,0.0,32.627,2.9,0.4848,3,Medium,0.5642,4,High,1.0,1.0
210809,UMACHIRI,PUNO,4504.0,6.6607,0.0,18.38,0.0,0.4388,2,Low,0.3612,1,Very low,-1.0,1.0
040604,CHICHAS,AREQUIPA,638.0,47.0219,0.0,76.488,0.0,0.4699,3,Medium,0.5373,4,High,1.0,1.0
250103,IPARIA,UCAYALI,12193.0,13.9424,0.0,68.932,0.0,0.4065,2,Low,0.4699,3,Medium,1.0,1.0
210113,SAN ANTONIO,PUNO,4025.0,2.4845,0.0,42.943,0.0,0.2222,1,Very low,0.2453,1,Very low,0.0,0.0
130702,GUADALUPE,LA LIBERTAD,45031.0,1.5545,1907.7969,7.483,94.23,0.5542,4,High,0.5791,4,High,0.0,0.0
130102,EL PORVENIR,LA LIBERTAD,196333.0,1.1205,1080.3584,0.877,100.0,0.6227,4,High,0.601,4,High,0.0,0.0
220202,ALTO BIAVO,SAN MARTIN,7368.0,8.1433,0.0,29.658,0.0,0.4155,2,Low,0.3944,2,Low,0.0,0.0
130502,CALAMARCA,LA LIBERTAD,5604.0,8.9222,41.0421,2.797,100.0,0.7726,5,Very high,0.7676,5,Very high,0.0,0.0
060106,JESUS,CAJAMARCA,14742.0,4.07,109.2118,3.106,100.0,0.6572,5,Very high,0.6574,5,Very high,0.0,0.0
060102,ASUNCION,CAJAMARCA,13508.0,2.2209,0.0,13.685,16.04,0.3477,1,Very low,0.3434,1,Very low,0.0,0.0
130805,HUAYLILLAS,LA LIBERTAD,3691.0,2.7093,0.0,10.011,48.84,0.3943,2,Low,0.3921,2,Low,0.0,0.0
021503,CONCHUCOS,ANCASH,8458.0,5.9116,1447.1506,17.197,15.79,0.5897,4,High,0.6105,4,High,0.0,0.0
130111,VICTOR LARCO HERRERA,LA LIBERTAD,66607.0,3.6032,4493.2214,1.828,100.0,0.6994,5,Very high,0.6857,5,Very high,0.0,0.0
040128,YURA,AREQUIPA,28556.0,2.1011,0.0,36.818,2.22,0.2277,1,Very low,0.3185,1,Very low,0.0,0.0
060508,YONAN,CAJAMARCA,7907.0,6.3235,4172.2524,9.769,55.32,0.6778,5,Very high,0.6806,5,Very high,0.0,0.0
061005,ICHOCAN,CAJAMARCA,1624.0,6.1576,646.5517,1.472,100.0,0.7456,5,Very high,0.7269,5,Very high,0.0,0.0
060502,CHILETE,CAJAMARCA,2733.0,7.318,6937.4314,5.664,98.21,0.7557,5,Very high,0.7634,5,Very high,0.0,0.0
061006,JOSE MANUEL QUIROZ,CAJAMARCA,3961.0,2.5246,161.5754,2.871,100.0,0.6202,4,High,0.6168,4,High,0.0,0.0
060204,SITACOCHA,CAJAMARCA,8910.0,6.734,0.0,10.249,46.91,0.5029,3,Medium,0.5015,3,Medium,0.0,0.0
130905,MARCABAL,LA LIBERTAD,17296.0,3.469,16.7669,4.178,100.0,0.6166,4,High,0.6302,4,High,0.0,0.0
060308,OXAMARCA,CAJAMARCA,6977.0,5.7331,15.7661,5.612,94.87,0.6569,5,Very high,0.6569,5,Very high,0.0,0.0
130703,JEQUETEPEQUE,LA LIBERTAD,3997.0,5.0038,0.0,7.368,97.83,0.4832,3,Medium,0.5124,3,Medium,0.0,0.0
060507,TANTARICA,CAJAMARCA,3303.0,3.0276,9.0827,5.166,92.0,0.5869,4,High,0.577,4,High,0.0,0.0
021509,PAMPAS,ANCASH,8780.0,5.6948,103.6446,29.377,0.0,0.496,3,Medium,0.4743,3,Medium,0.0,0.0
221001,TOCACHE,SAN MARTIN,25393.0,5.1195,12393.573,10.108,50.0,0.6568,5,Very high,0.6579,5,Very high,0.0,0.0
131002,ANGASMARCA,LA LIBERTAD,7592.0,2.6344,0.0,32.973,0.0,0.2562,1,Very low,0.2494,1,Very low,0.0,0.0
060111,NAMORA,CAJAMARCA,10740.0,4.6555,10.2421,6.302,94.83,0.6163,4,High,0.6272,4,High,0.0,0.0
060112,SAN JUAN,CAJAMARCA,5232.0,1.9113,0.0,7.802,95.35,0.3907,2,Low,0.4208,2,Low,0.0,0.0
220605,PAJARILLO,SAN MARTIN,6192.0,8.0749,0.0,7.888,71.26,0.5538,4,High,0.5544,4,High,0.0,0.0
060110,MATARA,CAJAMARCA,3542.0,2.8233,0.0,4.252,100.0,0.4632,3,Medium,0.4794,3,Medium,0.0,0.0
061001,PEDRO GALVEZ,CAJAMARCA,21549.0,2.7844,1935.5887,3.142,100.0,0.6469,5,Very high,0.6473,5,Very high,0.0,0.0
040203,MARIANO NICOLAS VALCARCEL,AREQUIPA,7728.0,3.882,0.0,73.137,0.0,0.2176,1,Very low,0.2833,1,Very low,0.0,0.0
060501,CONTUMAZA,CAJAMARCA,8461.0,7.0914,945.5147,6.51,66.67,0.708,5,Very high,0.689,5,Very high,0.0,0.0
061203,SAN LUIS,CAJAMARCA,1255.0,15.9363,0.0,6.08,100.0,0.6703,5,Very high,0.7123,5,Very high,0.0,0.0
210111,PICHACANI,PUNO,5298.0,15.1,0.0,37.992,0.0,0.4713,3,Medium,0.4798,3,Medium,0.0,0.0
130401,CHEPEN,LA LIBERTAD,49927.0,1.0015,7630.14,8.635,57.78,0.5581,4,High,0.5553,4,High,0.0,0.0
